sigma,x0,y0,theta,closure_err,t_est
0.35,0.272,0.424,4.71238898038469,4.916231814533489e-06,29.920392059541705
0.35,0.424,0.424,4.71238898038469,4.916231814533489e-06,29.920392059541705
0.35,0.576,0.12,0.0,4.916231814755534e-06,9.600000000000001
0.35,0.576,0.272,0.0,4.916231814755534e-06,21.76
0.35,0.576,0.424,0.0,4.916231814755534e-06,33.92
0.35,0.576,0.424,4.71238898038469,4.916231814533489e-06,29.920392059541705
0.35,0.576,0.576,0.0,4.916231814755534e-06,46.08
0.35,0.728,0.424,4.71238898038469,4.916231814533489e-06,29.920392059541705
0.35,0.728,0.88,4.71238898038469,4.646303544093581e-06,74.39977125396598
0.35,0.88,0.12,1.5707963267948966,3.908152196537487e-06,13.599747430700479
0.35,0.88,0.12,4.71238898038469,4.381968111797826e-06,13.599704521824624
0.35,0.88,0.272,1.5707963267948966,3.6645975484337033e-06,25.759749833590135
0.35,0.88,0.272,4.71238898038469,4.074794647532206e-06,25.75971478272786
0.35,0.88,0.424,1.5707963267948966,3.449578268160894e-06,37.91975223647979
0.35,0.88,0.424,4.71238898038469,3.7884304167342495e-06,37.91972504363105
0.35,0.88,0.576,1.5707963267948966,3.2687304425948105e-06,50.079754639369305
0.35,0.88,0.576,4.71238898038469,3.5279463330010884e-06,50.07973530453435
0.35,0.88,0.728,4.71238898038469,3.2994775856586823e-06,62.23974556542722
0.35,0.88,0.88,4.71238898038469,3.130878908266728e-06,74.39972999003606
0.39999999999999997,0.272,0.424,4.71238898038469,3.3085635400831315e-06,29.920264114366944
0.39999999999999997,0.424,0.424,4.71238898038469,3.3085635400831315e-06,29.920264114366944
0.39999999999999997,0.576,0.12,0.0,3.3085635412488656e-06,9.600000000000001
0.39999999999999997,0.576,0.272,0.0,3.3085635412488656e-06,21.76
0.39999999999999997,0.576,0.424,0.0,3.3085635412488656e-06,33.92
0.39999999999999997,0.576,0.424,4.71238898038469,3.3085635400831315e-06,29.920264114366944
0.39999999999999997,0.576,0.576,0.0,3.3085635412488656e-06,46.08
0.39999999999999997,0.728,0.424,4.71238898038469,3.3085635400831315e-06,29.920264114366944
0.39999999999999997,0.88,0.12,1.5707963267948966,2.7344503827599e-06,13.599877243243814
0.39999999999999997,0.88,0.12,4.71238898038469,2.889271839433022e-06,13.59985758928068
0.39999999999999997,0.88,0.272,1.5707963267948966,2.415058928886512e-06,25.759878056004666
0.39999999999999997,0.88,0.272,4.71238898038469,2.5570449049634213e-06,25.759862001322364
0.39999999999999997,0.88,0.424,1.5707963267948966,2.1196834728181758e-06,37.91987886876549
0.39999999999999997,0.88,0.424,4.71238898038469,2.245061430476065e-06,37.91986641336406
0.39999999999999997,0.88,0.576,1.5707963267948966,1.8598021601636495e-06,50.07987968152642
0.39999999999999997,0.88,0.576,4.71238898038469,1.962997275717756e-06,50.07987082540575
0.39999999999999997,0.88,0.728,4.71238898038469,1.7255871695648509e-06,62.2398752374371
0.39999999999999997,0.88,0.88,4.71238898038469,1.5674451186915787e-06,74.39985412551408
0.44999999999999996,0.272,0.424,4.71238898038469,1.767121641071956e-06,29.920141204199197
0.44999999999999996,0.424,0.424,4.71238898038469,1.767121641071956e-06,29.920141204199197
0.44999999999999996,0.424,0.576,4.71238898038469,1.7734118616941075e-06,42.080141707416786
0.44999999999999996,0.576,0.12,0.0,1.767121646234493e-06,9.600000000000001
0.44999999999999996,0.576,0.272,0.0,1.767121646234493e-06,21.76
0.44999999999999996,0.576,0.424,0.0,1.767121646234493e-06,33.92
0.44999999999999996,0.576,0.424,4.71238898038469,1.767121641071956e-06,29.920141204199197
0.44999999999999996,0.576,0.576,0.0,1.767121646234493e-06,46.08
0.44999999999999996,0.576,0.576,4.71238898038469,1.7734118616941075e-06,42.080141707416786
0.44999999999999996,0.576,0.728,0.0,1.7671218723881418e-06,58.24000000015302
0.44999999999999996,0.728,0.424,4.71238898038469,1.767121641071956e-06,29.920141204199197
0.44999999999999996,0.728,0.576,4.71238898038469,1.7734118616941075e-06,42.080141707416786
0.44999999999999996,0.88,0.424,1.5707963267948966,1.4615392282230792e-06,37.91999978722234
0.44999999999999996,0.88,0.424,4.71238898038469,1.4625987069513115e-06,37.919996167625214
0.44999999999999996,0.88,0.576,1.5707963267948966,1.0758561028521574e-06,50.07999978785956
0.44999999999999996,0.88,0.576,4.71238898038469,1.0766601223227507e-06,50.07999721422982
0.44999999999999996,0.88,0.728,4.71238898038469,6.907224853626082e-07,62.2399982608242
0.44999999999999996,0.88,0.88,4.71238898038469,2.4741320205674166e-07,74.39997408616806
0.49999999999999994,0.272,0.424,4.71238898038469,2.8847890709560176e-07,29.920023073828595
0.49999999999999994,0.424,0.12,0.0,2.8864929763061653e-07,9.600000000000001
0.49999999999999994,0.424,0.272,0.0,2.8864929763061653e-07,21.76
0.49999999999999994,0.424,0.424,0.0,2.8864929763061653e-07,33.92
0.49999999999999994,0.424,0.424,4.71238898038469,2.8847890709560176e-07,29.920023073828595
0.49999999999999994,0.424,0.576,0.0,2.8864929763061653e-07,46.08
0.49999999999999994,0.424,0.576,4.71238898038469,2.886492981302169e-07,42.08002308745988
0.49999999999999994,0.576,0.12,0.0,2.8847890665151255e-07,9.600000000000001
0.49999999999999994,0.576,0.272,0.0,2.8847890665151255e-07,21.76
0.49999999999999994,0.576,0.424,0.0,2.8847890665151255e-07,33.92
0.49999999999999994,0.576,0.424,4.71238898038469,2.8847890709560176e-07,29.920023073828595
0.49999999999999994,0.576,0.576,0.0,2.8847890665151255e-07,46.08
