sigma,t
0.45,52.360274713748616
0.45,16.8
0.45,38.080000000000005
0.45,59.36
0.45,52.360274713748616
0.45,80.64
0.45,73.6402758808916
0.45,16.8
0.45,38.080000000000005
0.45,59.36
0.45,52.360274713748616
0.45,80.64
0.45,73.6402758808916
0.45,101.92000000001222
0.45,52.360274713748616
0.45,73.6402758808916
0.45,52.360274713748616
0.45,73.6402758808916
0.55,52.360274713748616
0.55,16.8
0.55,38.080000000000005
0.55,59.36
0.55,52.360274713748616
0.55,80.64
0.55,73.6402758808916
0.55,16.8
0.55,38.080000000000005
0.55,59.36
0.55,52.360274713748616
0.55,80.64
0.55,73.6402758808916
0.55,101.92000000001222
0.55,52.360274713748616
0.55,73.6402758808916
0.55,52.360274713748616
0.55,73.6402758808916
0.4,52.36051221298409
0.4,16.8
0.4,38.080000000000005
0.4,59.36
0.4,52.36051221298409
0.4,80.64
0.4,73.64051620112274
0.4,16.8
0.4,38.080000000000005
0.4,59.36
0.4,52.36051221298409
0.4,80.64
0.4,73.64051620112274
0.4,101.92000000001227
0.4,52.36051221298409
0.4,73.64051620112274
0.4,52.36051221298409
0.4,73.64051620112274
0.6,52.36051221298409
0.6,16.8
0.6,38.080000000000005
0.6,59.36
0.6,52.36051221298409
0.6,80.64
0.6,73.64051620112274
0.6,16.8
0.6,38.080000000000005
0.6,59.36
0.6,52.36051221298409
0.6,80.64
0.6,73.64051620112274
0.6,101.92000000001227
0.6,52.36051221298409
0.6,73.64051620112274
0.6,52.36051221298409
0.6,73.64051620112274
